column,role,n_regions_filled,status
x_final_say_women,EXPOSURE,16,extracted
x_wifebeating_justified_women,EXPOSURE,16,extracted
x_no_land_women,EXPOSURE,16,extracted
x_women_no_education,EXPOSURE,16,extracted
x_women_secondary_plus,EXPOSURE,16,extracted
x_women_literate,EXPOSURE,16,extracted
x_women_cannot_read,EXPOSURE,16,extracted
x_ipv_any,EXPOSURE,16,extracted
x_own_decision_all3,EXPOSURE,16,extracted
m_skilled_delivery,MEDIATOR,16,extracted
y_asfr_15_19,OUTCOME,16,extracted
m_modern_cpr_married,MEDIATOR,16,extracted
m_fp_demand_satisfied_modern,MEDIATOR,16,extracted
y_women_any_anemia,OUTCOME,16,extracted
y_children_any_anemia,OUTCOME,16,extracted
y_u5mr,OUTCOME,16,extracted
y_nmr,OUTCOME,16,extracted
y_imr,OUTCOME,16,extracted
m_ever_hiv_test,MEDIATOR,16,extracted
m_anc_hiv_test,MEDIATOR,16,extracted
m_hiv_mtct_knowledge_women,MEDIATOR,16,extracted
ctx_total_pop,CONTEXT,16,extracted
ctx_n_districts,CONTEXT,16,extracted
ctx_illiteracy_rate,CONTEXT,16,extracted
ctx_uninsured_rate,CONTEXT,16,extracted
ctx_poverty_incidence,CONTEXT,16,extracted
ctx_female_15_64_share,CONTEXT,16,extracted
ctx_who_mrh_national,CONTEXT-INTRO-ONLY,0,WHO GHO national -> outputs/data/mrh_national_context.csv (Introduction context only; NOT a region mediator)
