Characteristic,National,Coastal/South,Middle,Northern
"Regions (districts), n",16 (261),5,6,5
"Women with secondary+ education, %",70.4,77.1,68.4,41.4
"Women literate, %",61.2,67.5,54.0,39.7
"Own decision-making (all three), %",53.0,58.5,48.4,40.2
"Wife-beating justified, %",18.9,15.5,17.8,41.8
"Do not own land, %",87.3,85.5,88.1,83.7
"Intimate-partner violence, %",28.2,29.8,27.5,32.2
"Skilled birth attendance, %",88.9,89.7,87.8,83.7
"Modern contraceptive prevalence (married), %",28.1,30.4,29.0,23.2
"FP demand satisfied, modern, %",46.2,47.6,46.9,47.4
"Ever HIV-tested (women), %",57.5,60.1,58.6,42.2
"Under-five mortality, /1000",41.5,39.6,45.3,49.4
"Neonatal mortality, /1000",18.3,18.2,20.0,20.2
"Infant mortality, /1000",28.8,29.2,30.2,30.4
"Women with anaemia, %",41.1,41.7,38.8,46.0
"Children with anaemia, %",46.8,44.7,44.4,65.5
"Adolescent birth rate (15-19), /1000",61.6,55.0,64.7,87.4
"Female illiteracy rate, %",25.7,22.4,28.0,48.0
"Poverty incidence, %",24.3,23.0,24.4,43.2
"Uninsured, %",31.1,35.1,26.6,25.1
